Type,Final Price,Unit Price,Flooring,Parking Space
"
2                                            ",650,16.5,21.48,"
0                                            "
"
2                                            ",850,15.6,24.98,"
1                                            "
"
2                                            ",1150,19.1,22.06,"
1                                            "
"
2                                            ",950,21.5,32.97,"
0                                            "
"
3                                            ",1200,15.4,22.95,"
0                                            "
"
2                                            ",1380,18.9,50.63,"
1                                            "
"
2                                            ",680,13.1,21.16,"
1                                            "
"
3                                            ",750,8.5,13.44,"
0                                            "
"
2                                            ",580,11.5,28.13,"
0                                            "
"
2                                            ",700,17.5,28.74,"
1                                            "
"
2                                            ",490,9.8,22.69,"
1                                            "
"
2                                            ",310,6.8,23.29,"
0                                            "
"
1                                            ",78,11.2,0.73,"
0                                            "
"
1                                            ",160,10.5,0.92,"
1                                            "
"
1                                            ",320,13.9,2.99,"
0                                            "
"
1                                            ",131,14.9,0.87,"
0                                            "
"
0                                            ",430,16.3,7.06,"
0                                            "
"
1                                            ",170,19.5,1.80,"
0                                            "
"
2                                            ",460,7.2,24.23,"
0                                            "
"
2                                            ",868,22.6,21.50,"
0                                            "
"
1                                            ",326,25.0,2.63,"
0                                            "
"
1                                            ",170,16.0,0.94,"
0                                            "
"
2                                            ",1430,18.9,24.11,"
0                                            "
"
2                                            ",416,15.2,20.38,"
0                                            "
"
2                                            ",2471,27.9,39.27,"
0                                            "
"
2                                            ",2471,27.9,39.42,"
0                                            "
"
0                                            ",370,11.5,8.89,"
0                                            "
"
2                                            ",850,22.2,25.71,"
0                                            "
"
2                                            ",1000,12.5,42.63,"
0                                            "
"
0                                            ",500,11.6,9.97,"
0                                            "
"
1                                            ",152,17.2,1.28,"
0                                            "
"
1                                            ",45,10.5,1.52,"
0                                            "
"
1                                            ",45,10.5,1.52,"
0                                            "
"
3                                            ",1580,14.6,45.84,"
0                                            "
"
2                                            ",930,17.3,33.51,"
0                                            "
"
2                                            ",825,16.7,27.49,"
0                                            "
"
2                                            ",270,11.5,16.02,"
0                                            "
"
2                                            ",220,7.3,35.37,"
0                                            "
"
2                                            ",918,18.6,23.57,"
0                                            "
"
2                                            ",225,9.7,12.85,"
0                                            "
"
2                                            ",225,9.7,12.85,"
0                                            "
"
2                                            ",755,11.4,35.60,"
0                                            "
"
2                                            ",550,23.6,20.89,"
0                                            "
"
2                                            ",1050,14.4,40.72,"
0                                            "
"
2                                            ",1050,14.4,41.86,"
0                                            "
"
2                                            ",445,12.2,26.87,"
0                                            "
"
2                                            ",3418,28.8,91.39,"
0                                            "
"
2                                            ",876,16.5,26.25,"
0                                            "
"
0                                            ",495,15.7,10.96,"
0                                            "
"
2                                            ",203,3.9,27.75,"
0                                            "
"
2                                            ",512,17.4,21.58,"
0                                            "
"
2                                            ",1220,21.6,23.06,"
0                                            "
"
2                                            ",440,17.6,20.22,"
0                                            "
"
2                                            ",250,9.9,21.09,"
0                                            "
"
2                                            ",468,8.3,29.95,"
0                                            "
"
2                                            ",325,6.2,36.08,"
0                                            "
"
0                                            ",180,8.6,5.74,"
0                                            "
"
2                                            ",446,8.4,27.23,"
0                                            "
"
0                                            ",220,13.9,6.18,"
0                                            "
"
1                                            ",122,10.8,1.85,"
0                                            "
"
2                                            ",1050,20.8,23.29,"
0                                            "
"
2                                            ",210,16.2,0.00,"
0                                            "
"
2                                            ",59,0.8,0.00,"
0                                            "
"
2                                            ",900,10.7,50.91,"
0                                            "
"
2                                            ",1050,20.8,22.99,"
0                                            "
"
2                                            ",1050,20.8,24.50,"
0                                            "
"
2                                            ",725,13.0,32.79,"
0                                            "
"
2                                            ",1280,18.3,32.97,"
0                                            "
"
2                                            ",1050,20.8,23.29,"
0                                            "
"
2                                            ",1050,20.8,23.29,"
0                                            "
"
2                                            ",1050,20.8,24.20,"
0                                            "
"
2                                            ",838,13.4,23.60,"
0                                            "
"
2                                            ",590,21.8,20.57,"
0                                            "
"
2                                            ",1050,20.8,23.60,"
0                                            "
"
2                                            ",74,2.6,9.36,"
0                                            "
"
2                                            ",251,7.9,23.29,"
0                                            "
"
2                                            ",1050,20.8,23.29,"
0                                            "
"
1                                            ",200,12.7,2.08,"
0                                            "
"
2                                            ",630,12.5,32.07,"
0                                            "
"
2                                            ",1000,24.8,27.23,"
0                                            "
"
0                                            ",150,7.6,5.74,"
0                                            "
"
2                                            ",385,11.8,25.71,"
0                                            "
"
1                                            ",148,16.1,0.87,"
0                                            "
"
2                                            ",1050,20.8,24.50,"
0                                            "
"
2                                            ",300,10.1,25.54,"
0                                            "
"
2                                            ",700,19.2,26.23,"
0                                            "
"
2                                            ",650,15.0,33.30,"
0                                            "
"
1                                            ",112,10.8,2.08,"
0                                            "
"
2                                            ",1050,20.8,22.99,"
0                                            "
"
3                                            ",860,58.1,30.86,"
0                                            "
"
0                                            ",170,8.2,19.18,"
0                                            "
"
2                                            ",1300,21.3,31.60,"
0                                            "
"
2                                            ",888,14.6,27.91,"
0                                            "
"
2                                            ",1080,17.2,28.44,"
0                                            "
"
0                                            ",293,9.2,11.40,"
0                                            "
"
0                                            ",250,11.8,5.81,"
0                                            "
"
2                                            ",420,13.6,18.43,"
0                                            "
"
3                                            ",590,9.8,11.04,"
0                                            "
"
2                                            ",1060,21.0,23.90,"
0                                            "
"
0                                            ",290,10.2,8.66,"
0                                            "
"
2                                            ",610,11.8,23.86,"
0                                            "
"
1                                            ",96,10.7,1.87,"
0                                            "
"
2                                            ",920,22.4,28.44,"
0                                            "
"
2                                            ",561,24.6,23.60,"
0                                            "
"
2                                            ",860,19.2,32.52,"
0                                            "
"
2                                            ",650,16.5,21.48,"
0                                            "
"
2                                            ",500,23.1,28.93,"
0                                            "
"
2                                            ",1068,17.9,22.87,"
0                                            "
"
2                                            ",490,19.1,18.15,"
0                                            "
"
3                                            ",1350,20.0,28.77,"
0                                            "
"
2                                            ",1250,19.7,24.50,"
0                                            "
"
2                                            ",810,16.7,21.99,"
0                                            "
"
2                                            ",575,20.1,29.95,"
0                                            "
"
2                                            ",730,19.6,23.14,"
0                                            "
"
1                                            ",125,10.2,2.49,"
0                                            "
"
2                                            ",870,12.6,27.23,"
0                                            "
"
2                                            ",750,24.7,21.33,"
0                                            "
"
0                                            ",438,12.6,8.34,"
1                                            "
"
2                                            ",660,28.0,22.66,"
0                                            "
"
2                                            ",1600,22.1,35.89,"
0                                            "
"
2                                            ",2250,27.4,24.13,"
0                                            "
"
2                                            ",1000,15.0,25.16,"
0                                            "
"
2                                            ",860,16.6,27.05,"
0                                            "
"
2                                            ",908,12.4,31.64,"
0                                            "
"
2                                            ",1200,18.1,27.80,"
0                                            "
"
2                                            ",385,12.7,23.75,"
0                                            "
"
2                                            ",280,6.6,26.08,"
0                                            "
"
2                                            ",828,22.0,20.27,"
0                                            "
"
0                                            ",158,5.2,9.14,"
0                                            "
"
2                                            ",750,14.9,26.39,"
0                                            "
"
2                                            ",220,7.2,15.43,"
0                                            "
"
2                                            ",78,7.9,6.35,"
0                                            "
"
2                                            ",250,19.0,19.09,"
0                                            "
"
1                                            ",198,13.3,1.34,"
0                                            "
"
0                                            ",265,8.4,8.75,"
0                                            "
"
2                                            ",2100,21.1,37.43,"
0                                            "
"
2                                            ",600,13.9,30.86,"
0                                            "
"
1                                            ",135,11.3,2.20,"
0                                            "
"
2                                            ",250,5.5,30.25,"
0                                            "
"
2                                            ",470,16.1,28.13,"
0                                            "
"
0                                            ",398,15.2,6.17,"
0                                            "
"
2                                            ",1200,17.5,23.59,"
1                                            "
"
2                                            ",680,13.8,23.94,"
0                                            "
"
2                                            ",1730,22.8,25.41,"
0                                            "
"
1                                            ",90,14.0,0.54,"
0                                            "
"
2                                            ",900,14.9,31.66,"
0                                            "
"
0                                            ",295,9.1,8.98,"
0                                            "
