Type,Final Price,Unit Price,Flooring,Parking Space
"
2                                            ",750,13.0,32.25,"
0                                            "
"
2                                            ",670,8.2,42.78,"
0                                            "
"
2                                            ",490,11.2,29.34,"
0                                            "
"
2                                            ",698,19.8,28.44,"
0                                            "
"
2                                            ",873,16.3,28.81,"
0                                            "
"
2                                            ",750,11.4,43.56,"
0                                            "
"
2                                            ",425,10.0,77.52,"
0                                            "
"
2                                            ",938,17.0,20.63,"
0                                            "
"
2                                            ",900,15.0,36.60,"
0                                            "
"
2                                            ",715,13.8,25.08,"
0                                            "
"
3                                            ",1800,30.5,16.17,"
1                                            "
"
2                                            ",450,15.3,23.29,"
0                                            "
"
2                                            ",1320,14.7,45.65,"
0                                            "
"
2                                            ",850,15.8,24.20,"
0                                            "
"
2                                            ",868,16.2,24.20,"
0                                            "
"
2                                            ",810,15.1,25.89,"
0                                            "
"
2                                            ",600,9.6,31.98,"
0                                            "
"
2                                            ",300,13.6,26.02,"
0                                            "
"
2                                            ",1200,73.5,27.31,"
0                                            "
"
2                                            ",720,14.8,27.45,"
0                                            "
"
2                                            ",2530,58.5,49.78,"
0                                            "
"
1                                            ",80,11.7,0.96,"
0                                            "
"
1                                            ",82,12.4,1.19,"
0                                            "
"
1                                            ",185,11.6,1.43,"
1                                            "
"
1                                            ",180,15.3,0.95,"
0                                            "
"
2                                            ",1300,17.5,40.07,"
0                                            "
"
2                                            ",500,14.4,58.97,"
0                                            "
"
2                                            ",600,20.7,24.01,"
1                                            "
"
2                                            ",360,12.1,35.24,"
1                                            "
"
2                                            ",330,11.3,32.19,"
1                                            "
"
2                                            ",640,21.6,20.57,"
1                                            "
"
0                                            ",1660,21.3,120.89,"
0                                            "
"
0                                            ",185,7.5,6.47,"
0                                            "
"
2                                            ",1070,11.7,34.41,"
1                                            "
"
2                                            ",650,26.4,18.76,"
0                                            "
"
2                                            ",1080,17.2,30.67,"
1                                            "
"
2                                            ",1650,29.7,24.17,"
1                                            "
"
2                                            ",850,18.5,35.39,"
0                                            "
"
2                                            ",1350,15.6,30.91,"
1                                            "
"
2                                            ",620,12.7,26.89,"
1                                            "
"
2                                            ",670,23.4,21.92,"
0                                            "
"
2                                            ",865,16.3,21.81,"
0                                            "
"
2                                            ",2450,26.1,27.05,"
0                                            "
"
1                                            ",166,16.0,0.79,"
0                                            "
"
2                                            ",980,19.0,36.98,"
1                                            "
"
0                                            ",305,8.4,10.10,"
0                                            "
"
0                                            ",250,13.9,13.51,"
0                                            "
"
1                                            ",145,31.3,0.79,"
0                                            "
"
2                                            ",850,10.7,19.66,"
1                                            "
"
0                                            ",172,4.7,4.07,"
0                                            "
"
0                                            ",180,11.6,11.16,"
0                                            "
"
2                                            ",480,12.6,37.72,"
0                                            "
"
0                                            ",426,10.2,13.95,"
0                                            "
"
0                                            ",325,25.0,8.98,"
0                                            "
"
2                                            ",1275,6.3,25.71,"
1                                            "
"
0                                            ",175,15.2,11.98,"
0                                            "
"
2                                            ",1122,20.1,31.38,"
0                                            "
"
2                                            ",560,15.3,33.98,"
1                                            "
"
2                                            ",638,10.3,27.24,"
0                                            "
"
0                                            ",260,24.4,5.63,"
0                                            "
"
2                                            ",1595,78.8,27.93,"
1                                            "
"
3                                            ",2330,13.0,58.38,"
0                                            "
"
2                                            ",715,19.0,34.40,"
1                                            "
"
2                                            ",1000,10.4,25.09,"
1                                            "
"
2                                            ",560,8.1,19.91,"
1                                            "
"
2                                            ",430,10.6,55.25,"
0                                            "
"
2                                            ",560,12.1,22.99,"
1                                            "
"
2                                            ",720,30.8,39.93,"
0                                            "
"
2                                            ",2800,20.9,44.17,"
0                                            "
"
2                                            ",1900,8.4,45.19,"
0                                            "
"
2                                            ",725,20.6,50.73,"
1                                            "
"
2                                            ",1230,11.2,22.46,"
0                                            "
"
2                                            ",490,13.5,29.34,"
0                                            "
"
2                                            ",930,15.4,30.86,"
0                                            "
"
2                                            ",1568,21.5,28.29,"
0                                            "
"
2                                            ",710,6.6,40.60,"
0                                            "
"
2                                            ",288,5.3,22.99,"
1                                            "
"
2                                            ",185,13.0,24.17,"
1                                            "
"
0                                            ",298,14.3,4.30,"
0                                            "
"
2                                            ",720,15.0,26.93,"
1                                            "
"
2                                            ",530,17.7,24.39,"
1                                            "
"
2                                            ",125,4.0,24.60,"
0                                            "
"
0                                            ",290,11.8,10.07,"
0                                            "
"
2                                            ",525,15.5,0.00,"
1                                            "
"
2                                            ",900,15.5,23.02,"
1                                            "
"
2                                            ",550,25.1,18.76,"
0                                            "
"
0                                            ",315,8.8,10.69,"
0                                            "
"
2                                            ",1000,17.0,28.31,"
1                                            "
"
2                                            ",882,31.5,23.17,"
0                                            "
"
1                                            ",160,12.7,2.55,"
0                                            "
"
2                                            ",593,9.9,28.34,"
0                                            "
"
0                                            ",227,9.9,11.80,"
0                                            "
"
2                                            ",520,13.5,28.36,"
1                                            "
"
2                                            ",675,11.2,26.86,"
0                                            "
"
2                                            ",266,4.8,25.71,"
0                                            "
"
2                                            ",300,5.9,30.43,"
0                                            "
"
2                                            ",778,14.8,49.94,"
0                                            "
"
2                                            ",680,11.8,29.31,"
0                                            "
"
2                                            ",700,12.3,27.88,"
0                                            "
"
2                                            ",680,12.1,27.39,"
0                                            "
"
2                                            ",868,14.1,42.11,"
0                                            "
"
2                                            ",686,12.2,27.99,"
0                                            "
"
2                                            ",650,11.4,27.88,"
0                                            "
"
2                                            ",380,6.6,24.22,"
0                                            "
"
2                                            ",896,14.6,43.02,"
0                                            "
"
2                                            ",750,12.0,34.70,"
0                                            "
"
2                                            ",420,9.9,26.68,"
0                                            "
"
2                                            ",340,6.2,25.61,"
0                                            "
"
2                                            ",688,11.0,35.30,"
0                                            "
"
2                                            ",380,28.6,26.64,"
0                                            "
"
1                                            ",75,14.8,1.17,"
0                                            "
"
2                                            ",2728,19.3,57.24,"
0                                            "
"
1                                            ",150,12.1,1.75,"
0                                            "
"
1                                            ",170,15.5,2.03,"
0                                            "
"
2                                            ",2301,26.3,32.99,"
0                                            "
"
2                                            ",100,17.5,6.96,"
0                                            "
"
1                                            ",135,11.6,1.82,"
0                                            "
"
1                                            ",130,12.5,2.20,"
0                                            "
"
1                                            ",125,17.2,1.29,"
0                                            "
"
1                                            ",75,9.6,0.81,"
0                                            "
"
1                                            ",88,13.5,1.42,"
0                                            "
"
2                                            ",200,22.8,2.67,"
0                                            "
"
2                                            ",1200,19.2,52.01,"
0                                            "
"
2                                            ",806,14.3,21.10,"
0                                            "
"
2                                            ",245,10.3,15.13,"
0                                            "
"
2                                            ",300,16.4,10.41,"
0                                            "
"
2                                            ",850,14.0,26.84,"
0                                            "
"
2                                            ",1109,18.7,27.23,"
0                                            "
"
1                                            ",103,7.4,1.43,"
0                                            "
"
2                                            ",1180,16.1,25.25,"
0                                            "
"
1                                            ",200,18.4,0.90,"
0                                            "
"
0                                            ",26,2.4,2.47,"
0                                            "
"
2                                            ",360,21.0,12.36,"
0                                            "
"
2                                            ",2900,26.5,37.03,"
0                                            "
"
2                                            ",290,8.0,16.02,"
0                                            "
"
0                                            ",180,8.2,5.98,"
0                                            "
"
3                                            ",73,28.6,0.62,"
0                                            "
"
3                                            ",73,28.6,0.62,"
0                                            "
"
2                                            ",670,13.0,23.90,"
0                                            "
"
2                                            ",890,21.3,17.55,"
0                                            "
"
0                                            ",288,10.4,7.57,"
0                                            "
"
0                                            ",220,8.0,8.78,"
0                                            "
"
0                                            ",470,11.9,15.03,"
0                                            "
"
2                                            ",2500,28.8,34.07,"
0                                            "
"
1                                            ",140,10.6,1.24,"
0                                            "
"
0                                            ",220,9.3,8.78,"
0                                            "
"
2                                            ",570,14.4,24.92,"
0                                            "
"
2                                            ",200,22.8,2.67,"
0                                            "
"
2                                            ",700,14.4,10.28,"
0                                            "
"
1                                            ",150,11.4,1.24,"
0                                            "
"
2                                            ",2050,14.8,25.69,"
0                                            "
"
2                                            ",1900,16.6,45.09,"
0                                            "
"
2                                            ",615,14.9,30.59,"
0                                            "
"
1                                            ",150,10.5,2.50,"
0                                            "
"
2                                            ",570,20.0,19.97,"
0                                            "
"
1                                            ",137,11.9,1.67,"
0                                            "
"
1                                            ",40,9.8,1.46,"
0                                            "
"
2                                            ",1260,15.5,34.48,"
0                                            "
"
2                                            ",1380,19.6,29.57,"
0                                            "
"
2                                            ",1120,22.2,27.44,"
0                                            "
"
2                                            ",400,8.5,24.59,"
0                                            "
"
2                                            ",1680,24.0,26.43,"
0                                            "
"
2                                            ",300,17.0,17.52,"
0                                            "
"
2                                            ",510,20.5,30.96,"
0                                            "
"
2                                            ",380,13.1,28.05,"
0                                            "
"
2                                            ",860,17.4,28.38,"
0                                            "
"
2                                            ",720,15.0,26.93,"
0                                            "
"
2                                            ",680,12.0,28.00,"
0                                            "
"
2                                            ",1020,19.9,23.60,"
0                                            "
"
2                                            ",250,10.6,16.02,"
0                                            "
"
2                                            ",700,26.6,26.31,"
0                                            "
"
2                                            ",240,5.8,20.27,"
0                                            "
"
2                                            ",88,8.2,19.25,"
0                                            "
"
2                                            ",135,4.6,20.54,"
0                                            "
"
2                                            ",1078,21.2,31.09,"
0                                            "
"
2                                            ",1175,18.7,26.38,"
0                                            "
"
1                                            ",250,10.9,8.09,"
0                                            "
"
2                                            ",838,13.8,30.24,"
0                                            "
"
2                                            ",2700,26.9,148.91,"
0                                            "
"
2                                            ",890,13.5,22.76,"
0                                            "
"
2                                            ",666,12.8,26.21,"
0                                            "
"
2                                            ",870,16.4,26.17,"
0                                            "
"
2                                            ",938,18.0,25.55,"
0                                            "
"
2                                            ",1095,20.6,22.38,"
0                                            "
"
2                                            ",350,14.7,23.33,"
0                                            "
"
2                                            ",1064,20.0,22.34,"
0                                            "
"
2                                            ",215,18.8,21.76,"
0                                            "
"
2                                            ",220,9.3,23.40,"
0                                            "
"
2                                            ",900,15.4,21.92,"
0                                            "
"
2                                            ",1015,19.2,21.87,"
0                                            "
"
2                                            ",545,19.1,19.96,"
0                                            "
"
2                                            ",700,12.0,27.99,"
0                                            "
"
2                                            ",1250,18.4,25.35,"
0                                            "
"
2                                            ",1800,13.0,77.98,"
0                                            "
"
2                                            ",1050,17.9,24.36,"
0                                            "
"
2                                            ",480,18.2,28.73,"
0                                            "
"
2                                            ",2550,24.4,72.28,"
0                                            "
"
2                                            ",938,22.2,29.48,"
0                                            "
"
2                                            ",475,8.1,42.05,"
0                                            "
"
2                                            ",260,14.5,12.73,"
0                                            "
"
2                                            ",4318,31.8,119.93,"
0                                            "
"
2                                            ",750,15.5,25.80,"
0                                            "
"
2                                            ",4768,35.4,117.10,"
0                                            "
"
2                                            ",530,17.7,24.38,"
0                                            "
"
2                                            ",330,11.3,32.19,"
0                                            "
"
2                                            ",1030,19.4,22.02,"
0                                            "
"
2                                            ",360,12.1,35.24,"
0                                            "
"
2                                            ",600,20.7,24.01,"
0                                            "
"
2                                            ",1098,20.7,22.74,"
0                                            "
"
2                                            ",500,16.9,21.78,"
0                                            "
"
2                                            ",810,25.9,23.14,"
0                                            "
"
2                                            ",730,24.3,27.88,"
0                                            "
"
1                                            ",115,11.3,0.92,"
0                                            "
"
2                                            ",1880,27.0,28.61,"
0                                            "
"
2                                            ",430,16.2,39.14,"
0                                            "
"
2                                            ",640,21.6,20.57,"
0                                            "
"
2                                            ",1520,16.0,33.88,"
0                                            "
"
0                                            ",255,8.9,8.74,"
0                                            "
"
2                                            ",160,6.8,28.11,"
0                                            "
"
1                                            ",70,9.4,8.15,"
0                                            "
"
2                                            ",1080,19.3,24.21,"
0                                            "
"
2                                            ",180,4.6,74.19,"
0                                            "
"
2                                            ",680,13.9,24.50,"
0                                            "
"
2                                            ",730,12.3,37.35,"
0                                            "
"
2                                            ",498,25.7,25.92,"
0                                            "
"
0                                            ",65,3.3,0.00,"
0                                            "
"
2                                            ",880,12.7,24.10,"
0                                            "
"
2                                            ",220,18.1,7.77,"
0                                            "
"
2                                            ",440,12.7,35.46,"
0                                            "
"
0                                            ",365,11.2,8.06,"
0                                            "
"
0                                            ",330,10.7,8.77,"
0                                            "
"
2                                            ",200,11.0,14.67,"
0                                            "
"
2                                            ",480,14.7,25.24,"
0                                            "
"
2                                            ",950,21.4,30.89,"
0                                            "
"
2                                            ",1630,29.4,23.53,"
0                                            "
"
2                                            ",420,16.3,16.28,"
0                                            "
"
2                                            ",750,12.8,25.20,"
0                                            "
"
3                                            ",758,20.6,6.60,"
0                                            "
"
0                                            ",110,9.5,0.00,"
0                                            "
"
2                                            ",750,12.5,21.78,"
0                                            "
"
2                                            ",990,18.8,22.98,"
0                                            "
"
2                                            ",2120,22.6,46.55,"
0                                            "
"
2                                            ",1650,29.7,24.17,"
0                                            "
"
2                                            ",1620,21.6,25.11,"
0                                            "
"
1                                            ",270,14.7,1.66,"
0                                            "
"
0                                            ",310,10.5,8.19,"
0                                            "
"
2                                            ",350,15.3,16.91,"
0                                            "
"
1                                            ",230,18.6,1.28,"
0                                            "
"
1                                            ",420,21.8,3.59,"
0                                            "
"
1                                            ",135,13.9,1.81,"
0                                            "
"
2                                            ",1380,28.0,37.21,"
0                                            "
"
2                                            ",810,20.4,25.41,"
0                                            "
"
2                                            ",1025,16.5,29.53,"
0                                            "
"
2                                            ",1620,30.2,22.84,"
0                                            "
"
3                                            ",888,51.5,11.19,"
0                                            "
"
0                                            ",185,7.3,0.00,"
0                                            "
"
2                                            ",283,8.0,27.53,"
0                                            "
"
2                                            ",1125,20.4,33.50,"
0                                            "
"
2                                            ",1130,19.6,32.37,"
0                                            "
"
2                                            ",1290,19.3,35.17,"
0                                            "
"
2                                            ",1300,16.1,42.10,"
0                                            "
"
2                                            ",880,27.8,25.72,"
0                                            "
"
1                                            ",166,8.1,1.63,"
0                                            "
"
2                                            ",285,5.1,24.29,"
0                                            "
"
2                                            ",650,27.0,22.69,"
1                                            "
"
2                                            ",250,6.5,23.87,"
0                                            "
"
2                                            ",560,20.4,22.99,"
0                                            "
"
1                                            ",456,25.3,3.35,"
0                                            "
"
2                                            ",670,23.4,21.92,"
0                                            "
"
1                                            ",165,13.5,1.22,"
0                                            "
"
2                                            ",610,12.6,27.19,"
0                                            "
"
2                                            ",1900,19.1,24.20,"
0                                            "
"
2                                            ",920,27.0,29.80,"
1                                            "
"
2                                            ",970,17.3,26.77,"
0                                            "
"
2                                            ",970,17.6,24.38,"
0                                            "
"
1                                            ",145,13.5,1.53,"
0                                            "
"
2                                            ",730,13.1,31.62,"
0                                            "
"
3                                            ",1780,18.1,34.79,"
0                                            "
"
2                                            ",1080,19.9,23.86,"
0                                            "
"
2                                            ",1120,20.4,20.84,"
0                                            "
"
2                                            ",680,13.2,19.97,"
0                                            "
"
2                                            ",955,17.8,24.15,"
0                                            "
"
2                                            ",1275,16.7,22.81,"
0                                            "
"
2                                            ",1060,14.3,61.47,"
0                                            "
"
2                                            ",650,13.5,30.34,"
0                                            "
"
2                                            ",610,12.4,29.01,"
0                                            "
"
2                                            ",580,19.4,287.79,"
0                                            "
"
1                                            ",260,16.5,15.99,"
0                                            "
"
2                                            ",450,25.9,28.79,"
0                                            "
"
2                                            ",938,17.4,22.56,"
0                                            "
"
2                                            ",965,17.5,23.70,"
0                                            "
"
0                                            ",220,9.3,6.93,"
0                                            "
"
2                                            ",850,14.0,25.12,"
0                                            "
"
2                                            ",1140,20.1,20.45,"
0                                            "
"
0                                            ",410,13.3,7.56,"
0                                            "
"
1                                            ",181,13.9,1.34,"
0                                            "
"
2                                            ",750,15.4,22.83,"
0                                            "
"
2                                            ",2280,24.1,28.37,"
0                                            "
"
2                                            ",1270,17.7,25.31,"
0                                            "
"
2                                            ",400,7.7,27.30,"
0                                            "
"
2                                            ",150,6.7,15.22,"
0                                            "
"
0                                            ",320,9.9,11.47,"
0                                            "
"
0                                            ",300,12.0,8.52,"
0                                            "
"
2                                            ",1688,19.4,31.00,"
0                                            "
"
2                                            ",600,10.5,22.99,"
0                                            "
"
2                                            ",765,29.5,19.54,"
0                                            "
"
2                                            ",568,19.0,21.48,"
0                                            "
"
2                                            ",2377,27.5,32.11,"
0                                            "
"
2                                            ",1250,18.4,25.17,"
0                                            "
"
2                                            ",955,17.8,23.40,"
0                                            "
"
2                                            ",700,13.8,30.25,"
0                                            "
"
3                                            ",2250,24.5,33.47,"
0                                            "
"
2                                            ",686,24.0,22.62,"
0                                            "
"
2                                            ",985,17.3,25.06,"
0                                            "
"
3                                            ",580,10.0,10.52,"
0                                            "
"
0                                            ",430,7.4,14.28,"
1                                            "
"
2                                            ",650,14.8,25.88,"
0                                            "
"
2                                            ",1160,20.3,26.96,"
0                                            "
"
2                                            ",710,14.0,31.46,"
0                                            "
"
2                                            ",808,17.6,23.56,"
0                                            "
"
2                                            ",1250,23.2,22.09,"
0                                            "
"
2                                            ",720,26.0,23.60,"
0                                            "
"
2                                            ",832,13.3,23.60,"
0                                            "
"
3                                            ",3280,13.7,32.37,"
0                                            "
"
2                                            ",960,18.5,20.95,"
0                                            "
"
2                                            ",500,14.4,18.76,"
0                                            "
"
2                                            ",925,18.9,22.02,"
0                                            "
"
2                                            ",680,19.6,26.58,"
0                                            "
"
0                                            ",406,16.0,7.83,"
0                                            "
"
2                                            ",1130,20.2,25.97,"
0                                            "
"
1                                            ",140,15.5,0.83,"
0                                            "
"
2                                            ",920,18.8,22.02,"
0                                            "
"
2                                            ",1650,26.8,32.26,"
0                                            "
"
2                                            ",740,14.0,19.65,"
0                                            "
"
2                                            ",340,33.6,16.34,"
0                                            "
"
0                                            ",248,8.9,9.90,"
0                                            "
"
2                                            ",1070,20.0,24.27,"
0                                            "
"
2                                            ",630,16.7,26.64,"
0                                            "
"
2                                            ",900,16.7,27.83,"
0                                            "
"
2                                            ",1350,18.8,24.90,"
0                                            "
"
2                                            ",1160,19.4,28.00,"
0                                            "
"
2                                            ",1452,20.1,29.87,"
0                                            "
"
2                                            ",1160,17.4,27.69,"
0                                            "
"
2                                            ",2000,18.1,83.66,"
0                                            "
"
2                                            ",810,28.2,17.00,"
0                                            "
"
2                                            ",8200,21.6,127.05,"
0                                            "
"
0                                            ",370,7.5,11.50,"
0                                            "
"
2                                            ",420,27.1,24.75,"
0                                            "
"
2                                            ",618,25.6,19.97,"
0                                            "
"
2                                            ",980,17.0,27.48,"
0                                            "
"
2                                            ",1568,21.5,28.29,"
0                                            "
"
1                                            ",105,9.8,0.00,"
0                                            "
"
2                                            ",865,16.3,21.81,"
0                                            "
"
2                                            ",1150,15.2,24.50,"
0                                            "
"
2                                            ",1070,20.0,24.44,"
0                                            "
"
0                                            ",290,11.8,10.07,"
0                                            "
"
2                                            ",990,17.1,26.59,"
0                                            "
"
2                                            ",445,16.3,17.85,"
0                                            "
"
2                                            ",1790,24.7,24.02,"
0                                            "
"
2                                            ",445,16.3,30.54,"
0                                            "
"
2                                            ",1790,24.7,24.03,"
0                                            "
"
2                                            ",430,12.4,27.83,"
0                                            "
"
2                                            ",499,16.3,20.91,"
0                                            "
"
2                                            ",888,13.8,32.25,"
0                                            "
"
2                                            ",470,21.4,19.66,"
0                                            "
"
0                                            ",263,8.5,21.03,"
0                                            "
"
2                                            ",800,14.7,37.52,"
0                                            "
"
2                                            ",480,17.9,28.07,"
0                                            "
"
2                                            ",1000,8.3,59.59,"
0                                            "
"
2                                            ",688,14.2,25.33,"
0                                            "
"
2                                            ",628,11.1,33.85,"
0                                            "
"
3                                            ",400,18.7,15.59,"
0                                            "
"
1                                            ",65,9.7,1.05,"
0                                            "
"
1                                            ",55,7.1,1.22,"
0                                            "
"
2                                            ",400,7.7,24.50,"
0                                            "
"
2                                            ",1150,12.8,26.62,"
0                                            "
"
2                                            ",415,15.2,36.00,"
0                                            "
"
2                                            ",1250,19.3,34.92,"
0                                            "
"
2                                            ",600,18.5,36.70,"
0                                            "
"
2                                            ",400,14.1,25.41,"
0                                            "
"
2                                            ",560,17.6,31.58,"
0                                            "
"
2                                            ",998,17.1,28.01,"
0                                            "
"
2                                            ",268,5.2,21.55,"
0                                            "
"
2                                            ",196,7.1,24.04,"
0                                            "
"
2                                            ",570,7.2,49.51,"
0                                            "
"
2                                            ",580,19.5,22.39,"
0                                            "
"
0                                            ",340,10.3,8.87,"
0                                            "
"
2                                            ",1310,21.5,29.67,"
0                                            "
"
2                                            ",470,14.3,28.27,"
0                                            "
